"id","sku","labeling_unit_1","labeling_quantity_1","labeling_unit_2","labeling_quantity_2","labeling_unit_3","labeling_quantity_3","labeling_unit_4","labeling_quantity_4","labeling_unit_5","labeling_quantity_5","created_at","updated_at","customer_id"
"179","ABO-013","Gallon jug",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"180","ABO-014","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"181","ABO-015","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"182","ABO-015-02","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"183","ABO-015-04","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"184","ABO-016","Case",6,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"185","ABO-017","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"186","ABO-017-06","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"187","ABO-017-12-WSI","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"188","ABO-018","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"189","ABO-019","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"190","ABO-021","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"191","ABO-022","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"192","ABO-022-06","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"193","ABO-023","Each",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"194","ABO-025","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"195","ABO-025-02","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"196","ABO-025-04","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"197","ABO-026","Case",6,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"198","ABO-027","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"199","ABO-027-OLD-Label","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"200","ABO-028","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.576813-04","2024-06-09 00:48:59.576813-04",1
"201","ABO-029","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.592461-04","2024-06-09 00:48:59.592461-04",1
"202","ABO-029-02","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.592461-04","2024-06-09 00:48:59.592461-04",1
"203","ABO-031","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.594859-04","2024-06-09 00:48:59.594859-04",1
"204","ABO-032","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.594859-04","2024-06-09 00:48:59.594859-04",1
"205","ABO-032-06","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.595876-04","2024-06-09 00:48:59.595876-04",1
"206","ABO-035","Master carton",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.596868-04","2024-06-09 00:48:59.596868-04",1
"207","ABO-035-02","Master carton",10,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.596868-04","2024-06-09 00:48:59.596868-04",1
"208","ABO-035-04","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.597867-04","2024-06-09 00:48:59.597867-04",1
"209","ABO-037","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.598867-04","2024-06-09 00:48:59.598867-04",1
"210","ABO-037-06","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.598867-04","2024-06-09 00:48:59.598867-04",1
"211","ABO-038","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.599866-04","2024-06-09 00:48:59.599866-04",1
"212","ABO-039","Case",36,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.599866-04","2024-06-09 00:48:59.599866-04",1
"213","ABO-042","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.601-04","2024-06-09 00:48:59.601-04",1
"214","ABO-043","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.601-04","2024-06-09 00:48:59.601-04",1
"215","ABO-047","Case",12,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.602029-04","2024-06-09 00:48:59.602029-04",1
"216","ABO-072","Case",1,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.602029-04","2024-06-09 00:48:59.602029-04",1
"217","ABO-073","Case",6,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.603028-04","2024-06-09 00:48:59.603028-04",1
"218","ABO-074","Case",6,"",0,"",0,"",0,"",0,"2024-06-09 00:48:59.604028-04","2024-06-09 00:48:59.604028-04",1
